Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,1.0747,null,null,null
2010-12-15,1.2638,null,null,null
2011-01-15,0.9115,0.9115,null,null
2011-02-15,1.2845,null,null,null
2011-03-15,1.2245,null,null,null
2011-04-15,1.0395,null,null,1.0395
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.0,null,null,null
2011-12-15,0.8496,null,null,null
2012-01-15,1.0044,1.0044,null,null
2012-02-15,1.2037,null,null,null
2012-03-15,1.4659,null,null,null
2012-04-15,1.2249,null,null,1.2249
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.4226,null,null,null
2012-12-15,1.2751,null,null,null
2013-01-15,1.0247,1.0247,null,null
2013-02-15,1.1441,null,null,null
2013-03-15,1.2545,null,null,null
2013-04-15,1.1578,null,null,1.1578
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.3667,null,null,null
2013-12-15,1.0744,null,null,null
2014-01-15,1.0064,1.0064,null,null
2014-02-15,0.9313,null,null,null
2014-03-15,1.2825,null,null,null
2014-04-15,1.0615,null,null,1.0615
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,0.5364,null,null,null
2015-01-15,0.9164,0.9164,null,null
2015-02-15,0.9108,null,null,null
2015-03-15,1.0116,null,null,null
2015-04-15,1.0215,null,null,1.0215
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.925,null,null,null
2015-12-15,0.7925,null,null,null
2016-01-15,0.8848,0.8848,null,null
2016-02-15,0.9915,null,null,null
2016-03-15,1.1615,null,null,null
2016-04-15,1.0311,null,null,1.0311
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.5385,null,null,null
2016-12-15,0.305,null,null,null
2017-01-15,0.764,0.764,null,null
2017-02-15,1.1264,null,null,null
2017-03-15,1.0352,null,null,null
2017-04-15,1.174,null,null,1.174
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,1.3324,null,null,null
2017-12-15,0.9343,null,null,null
2018-01-15,1.1883,1.1883,null,null
2018-02-15,1.0434,null,null,null
2018-03-15,1.3132,null,null,null
2018-04-15,1.8601,null,null,1.8601
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,1.3413,null,null,null
2018-12-15,0.4429,null,null,null
2019-01-15,1.0275,1.0275,null,null
2019-02-15,1.0413,null,null,null
2019-03-15,1.2814,null,null,null
2019-04-15,1.0383,null,null,1.0383
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,0.8863,null,null,null
2020-01-15,0.8556,0.8556,null,null
2020-02-15,1.1183,null,null,null
2020-03-15,1.2125,null,null,null
2020-04-15,1.0832,null,null,1.0832
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.0,null,null,null
2020-12-15,0.6248,null,null,null
2021-01-15,0.9266,0.9266,null,null
2021-02-15,1.3417,null,null,null
2021-03-15,1.4224,null,null,null
2021-04-15,1.0997,null,null,1.0997
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.7122,null,null,null
2021-12-15,0.9253,null,null,null
2022-01-15,1.0452,1.0452,null,null
2022-02-15,1.1182,null,null,null
