Date,volume,January_volume,October_volume,April_volume
2010-11-15,3525.97,null,null,null
2010-12-15,3677.86,null,null,null
2011-01-15,4019.8,4019.8,null,null
2011-02-15,4338.85,null,null,null
2011-03-15,4963.29,null,null,null
2011-04-15,5081.42,null,null,5081.42
2011-10-15,null,null,null,null
2011-10-15,1800.09,null,1800.09,null
2011-11-15,2791.97,null,null,null
2011-12-15,3337.82,null,null,null
2012-01-15,3538.18,3538.18,null,null
2012-02-15,4022.95,null,null,null
2012-03-15,4342.12,null,null,null
2012-04-15,4538.14,null,null,4538.14
2012-10-15,null,null,null,null
2012-10-15,1990.79,null,1990.79,null
2012-11-15,2699.14,null,null,null
2012-12-15,3069.0,null,null,null
2013-01-15,3089.37,3089.37,null,null
2013-02-15,3391.03,null,null,null
2013-03-15,3994.12,null,null,null
2013-04-15,4296.41,null,null,4296.41
2013-10-15,null,null,null,null
2013-10-15,2412.57,null,2412.57,null
2013-11-15,3242.38,null,null,null
2013-12-15,3539.0,null,null,null
2014-01-15,3728.14,3728.14,null,null
2014-02-15,3933.43,null,null,null
2014-03-15,4524.5,null,null,null
2014-04-15,4845.47,null,null,4845.47
2014-10-15,null,null,null,null
2014-10-15,2280.7,null,2280.7,null
2014-11-15,3312.88,null,null,null
2014-12-15,3624.03,null,null,null
2015-01-15,3834.78,3834.78,null,null
2015-02-15,4335.55,null,null,null
2015-03-15,4698.79,null,null,null
2015-04-15,5046.62,null,null,5046.62
2015-10-15,null,null,null,null
2015-10-15,2258.05,null,2258.05,null
2015-11-15,3074.95,null,null,null
2015-12-15,3472.79,null,null,null
2016-01-15,3798.0,3798.0,null,null
2016-02-15,4264.02,null,null,null
2016-03-15,4496.52,null,null,null
2016-04-15,4840.54,null,null,4840.54
2016-10-15,null,null,null,null
2016-10-15,2217.47,null,2217.47,null
2016-11-15,2805.24,null,null,null
2016-12-15,3360.02,null,null,null
2017-01-15,3700.81,3700.81,null,null
2017-02-15,4120.97,null,null,null
2017-03-15,4485.73,null,null,null
2017-04-15,4581.66,null,null,4581.66
2017-10-15,null,null,null,null
2017-10-15,2641.89,null,2641.89,null
2017-11-15,3214.37,null,null,null
2017-12-15,3364.46,null,null,null
2018-01-15,3814.71,3814.71,null,null
2018-02-15,3911.8,null,null,null
2018-03-15,4074.13,null,null,null
2018-04-15,4492.9,null,null,4492.9
2018-10-15,null,null,null,null
2018-10-15,2104.77,null,2104.77,null
2018-11-15,3356.98,null,null,null
2018-12-15,3685.75,null,null,null
2019-01-15,3961.47,3961.47,null,null
2019-02-15,4443.79,null,null,null
2019-03-15,4886.0,null,null,null
2019-04-15,5230.43,null,null,5230.43
2019-10-15,null,null,null,null
2019-10-15,2137.74,null,2137.74,null
2019-11-15,2980.58,null,null,null
2019-12-15,3236.72,null,null,null
2020-01-15,3467.36,3467.36,null,null
2020-02-15,4098.56,null,null,null
2020-03-15,4630.2,null,null,null
2020-04-15,5074.17,null,null,5074.17
2020-10-15,null,null,null,null
2020-10-15,1454.5,null,1454.5,null
2020-11-15,2218.54,null,null,null
2020-12-15,3022.53,null,null,null
2021-01-15,3303.49,3303.49,null,null
2021-02-15,3634.04,null,null,null
2021-03-15,4045.53,null,null,null
2021-04-15,4396.34,null,null,4396.34
2021-10-15,null,null,null,null
2021-10-15,2049.79,null,2049.79,null
2021-11-15,3109.58,null,null,null
2021-12-15,3469.25,null,null,null
2022-01-15,3750.32,3750.32,null,null
2022-02-15,4033.0,null,null,null
